prime_awardee_name,subawardee_name,subaward_action_date,subaward_amount,subaward_description
"TORCH TECHNOLOGIES, INC.",MONTE SANO RESEARCH CORPORATION,2020-09-28,43926.5,"he contractor shall provide the following services in support of the S3I Directorate:
 3.1. Support the Strategic Defense Branch with the development of missile Radar Cross Section model development, integration and analysis support. This work shall include:
 3.1.1. The contractor shall support the planning, development, and implementation of specialized software/hardware elements necessary for the creation of the non-real time and real time Hypersonic Threat Sensor Technology Scene Projector (HTST-SP) HWIL capability for multi-spectrum missile simulation element facilities. (IAW PWS Para. 2.0.2, 2.1.1, 2.1.2
 3.1.2. The contractor will support the HTST-SP HWIL to integrate and interface various seekers/sensors, target/environment signatures, and countermeasure hardware/software into target generation systems. (IAW PWS Para. 2.0.2, 2.2.2, 2.2.4)
 3.1.3. The contractor will perform analysis to assess and evaluate missile threats, missile capabilities. (IAW PWS Para. 2.0.2, 2.1.3, 2.1.6)
 3.1.4. The contractor will support the development of advanced tactical missile system algorithms. (IAW PWS Para. 2.1.3, 2.2.2, 2.2.4)"
"TORCH TECHNOLOGIES, INC.",MONTE SANO RESEARCH CORPORATION,2020-09-28,43926.5,"he contractor shall provide the following services in support of the S3I Directorate:
 3.1. Support the Strategic Defense Branch with the development of missile Radar Cross Section model development, integration and analysis support. This work shall include:
 3.1.1. The contractor shall support the planning, development, and implementation of specialized software/hardware elements necessary for the creation of the non-real time and real time Hypersonic Threat Sensor Technology Scene Projector (HTST-SP) HWIL capability for multi-spectrum missile simulation element facilities. (IAW PWS Para. 2.0.2, 2.1.1, 2.1.2
 3.1.2. The contractor will support the HTST-SP HWIL to integrate and interface various seekers/sensors, target/environment signatures, and countermeasure hardware/software into target generation systems. (IAW PWS Para. 2.0.2, 2.2.2, 2.2.4)
 3.1.3. The contractor will perform analysis to assess and evaluate missile threats, missile capabilities. (IAW PWS Para. 2.0.2, 2.1.3, 2.1.6)
 3.1.4. The contractor will support the development of advanced tactical missile system algorithms. (IAW PWS Para. 2.1.3, 2.2.2, 2.2.4)"
"TORCH TECHNOLOGIES, INC.",MONTE SANO RESEARCH CORPORATION,2020-09-28,43926.5,"he contractor shall provide the following services in support of the S3I Directorate:
 3.1. Support the Strategic Defense Branch with the development of missile Radar Cross Section model development, integration and analysis support. This work shall include:
 3.1.1. The contractor shall support the planning, development, and implementation of specialized software/hardware elements necessary for the creation of the non-real time and real time Hypersonic Threat Sensor Technology Scene Projector (HTST-SP) HWIL capability for multi-spectrum missile simulation element facilities. (IAW PWS Para. 2.0.2, 2.1.1, 2.1.2
 3.1.2. The contractor will support the HTST-SP HWIL to integrate and interface various seekers/sensors, target/environment signatures, and countermeasure hardware/software into target generation systems. (IAW PWS Para. 2.0.2, 2.2.2, 2.2.4)
 3.1.3. The contractor will perform analysis to assess and evaluate missile threats, missile capabilities. (IAW PWS Para. 2.0.2, 2.1.3, 2.1.6)
 3.1.4. The contractor will support the development of advanced tactical missile system algorithms. (IAW PWS Para. 2.1.3, 2.2.2, 2.2.4)"
UNIVERSAL TECHNOLOGY CORPORATION,"TECHSOLVE, INC.",2020-02-10,100000.0,"Identify and bridge gaps between military manufacturing technology needs and industrial capabilities for materials, components, and assemblies containing those components in hypersonic weapons systems applications."
UNIVERSAL TECHNOLOGY CORPORATION,COWLES CONSULTING LLC,2019-08-19,204879.0,"Provide subject matter expertise to conduct Manufacturing Readiness Assessments (MRAs), generate Manufacturing Maturation Plans (MMPs), and conduct Industrial Base Assessments (IBAs) of emerging process capabilities related to the development and production of hypersonic strike systems."
UNIVERSAL TECHNOLOGY CORPORATION,AIRFLOW SCIENCES CORPORATION,2019-12-11,60000.0,Process Technology Assessments for Hypersonics Component Manufacturing
UNIVERSAL TECHNOLOGY CORPORATION,AIRFLOW SCIENCES CORPORATION,2019-12-11,60000.0,Process Technology Assessments for Hypersonics Component Manufacturing
LOCKHEED MARTIN CORPORATION,"AEROJET ROCKETDYNE, INC.",2019-12-12,807926.0,KICK OFF DATA DELIVERY FOR MDA DELIVERABLES TIM 2 TIM 1 FINAL DATA DELIVERY FOR DEMONSTRATION
LOCKHEED MARTIN CORPORATION,"AEROJET ROCKETDYNE, INC.",2020-04-20,807926.0,FINAL DATA DELIVERY FOR DEMONSTRATION TIM 1 TIM 2 DATA DELIVERY FOR MDA DELIVERABLES KICK OFF
LOCKHEED MARTIN CORPORATION,"AEROJET ROCKETDYNE, INC.",2020-03-23,807926.0,FINAL DATA DELIVERY FOR DEMONSTRATION TIM 1 TIM 2 DATA DELIVERY FOR MDA DELIVERABLES KICK OFF
LOCKHEED MARTIN CORPORATION,"AEROJET ROCKETDYNE, INC.",2019-11-26,807926.0,FINAL DATA DELIVERY FOR DEMONSTRATION KICK OFF DATA DELIVERY FOR MDA DELIVERABLES TIM 2 TIM 1
LOCKHEED MARTIN CORPORATION,"AEROJET ROCKETDYNE, INC.",2020-01-15,807926.0,KICK OFF DATA DELIVERY FOR MDA DELIVERABLES TIM 2 FINAL DATA DELIVERY FOR DEMONSTRATION TIM 1
LOCKHEED MARTIN CORPORATION,ALLIANT TECHSYSTEMS OPERATIONS LLC,2019-12-11,796488.0,TIM 2 TIM 1 FINAL DATA DELIVERY FOR DEMONSTRATION KICKOFF MEETING
LOCKHEED MARTIN CORPORATION,ALLIANT TECHSYSTEMS OPERATIONS LLC,2019-11-21,796488.0,KICKOFF MEETING FINAL DATA DELIVERY FOR DEMONSTRATION TIM 1 TIM 2
LOCKHEED MARTIN CORPORATION,ALLIANT TECHSYSTEMS OPERATIONS LLC,2020-01-06,796488.0,TIM 2 TIM 1 FINAL DATA DELIVERY FOR DEMONSTRATION KICKOFF MEETING
LOCKHEED MARTIN CORPORATION,ALLIANT TECHSYSTEMS OPERATIONS LLC,2020-04-14,796488.0,TIM 2 TIM 1 KICKOFF MEETING FINAL DATA DELIVERY FOR DEMONSTRATION
LOCKHEED MARTIN CORPORATION,ALLIANT TECHSYSTEMS OPERATIONS LLC,2020-03-23,796488.0,TIM 2 TIM 1 FINAL DATA DELIVERY FOR DEMONSTRATION KICKOFF MEETING
LOCKHEED MARTIN CORPORATION,"BOEING COMPANY, THE",2019-10-25,50000.0,SEEKER CONCEPT DEVELOPMENT AND RISK MITI
LOCKHEED MARTIN CORPORATION,"BOEING COMPANY, THE",2020-11-10,50000.0,SEEKER CONCEPT DEVELOPMENT AND RISK MITI
LOCKHEED MARTIN CORPORATION,"BOEING COMPANY, THE",2020-04-19,50000.0,SEEKER CONCEPT DEVELOPMENT AND RISK MITI
LOCKHEED MARTIN CORPORATION,"BOEING COMPANY, THE",2020-01-09,50000.0,SEEKER CONCEPT DEVELOPMENT AND RISK MITI
NORTHROP GRUMMAN SYSTEMS CORPORATION,NAMMO DEFENSE SYSTEMS INC.,2020-12-30,463955.22,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,NAMMO DEFENSE SYSTEMS INC.,2021-07-21,905267.0,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,NAMMO DEFENSE SYSTEMS INC.,2021-07-21,300000.0,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,"STREAMLINE AUTOMATION, LLC",2020-12-30,73679.5,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,P B & J PARTNERS LLC,2022-03-21,72356.0,FLUID AND GAS DISTRI
NORTHROP GRUMMAN SYSTEMS CORPORATION,"STREAMLINE AUTOMATION, LLC",2020-12-30,73679.5,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,"STREAMLINE AUTOMATION, LLC",2020-12-30,73679.5,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,"SIERRA ENGINEERING & SOFTWARE, INC.",2020-03-18,460197.2,Technical Services
NORTHROP GRUMMAN SYSTEMS CORPORATION,NAMMO DEFENSE SYSTEMS INC.,2020-12-30,193434.22,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,NAMMO DEFENSE SYSTEMS INC.,2020-12-30,193434.22,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,NAMMO DEFENSE SYSTEMS INC.,2020-12-30,193434.22,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,NAMMO DEFENSE SYSTEMS INC.,2020-12-30,193434.22,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,"STREAMLINE AUTOMATION, LLC",2020-03-25,126306.0,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,"STREAMLINE AUTOMATION, LLC",2020-03-25,126306.0,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,"STREAMLINE AUTOMATION, LLC",2020-03-25,126306.0,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,"STREAMLINE AUTOMATION, LLC",2020-03-25,126306.0,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,"STREAMLINE AUTOMATION, LLC",2020-03-25,126306.0,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,"STREAMLINE AUTOMATION, LLC",2020-03-25,126306.0,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,NAMMO DEFENSE SYSTEMS INC.,2020-04-01,97157.0,Technical Services
NORTHROP GRUMMAN SYSTEMS CORPORATION,NAMMO DEFENSE SYSTEMS INC.,2020-04-01,97157.0,Technical Services
NORTHROP GRUMMAN SYSTEMS CORPORATION,NAMMO DEFENSE SYSTEMS INC.,2020-04-01,97157.0,Technical Services
NORTHROP GRUMMAN SYSTEMS CORPORATION,NAMMO DEFENSE SYSTEMS INC.,2020-04-01,97157.0,Technical Services
NORTHROP GRUMMAN SYSTEMS CORPORATION,NAMMO DEFENSE SYSTEMS INC.,2020-04-01,97157.0,Technical Services
NORTHROP GRUMMAN SYSTEMS CORPORATION,"STREAMLINE AUTOMATION, LLC",2020-12-30,73679.5,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,"STREAMLINE AUTOMATION, LLC",2020-12-30,73679.5,TECHNICAL SERVICES
NORTHROP GRUMMAN SYSTEMS CORPORATION,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,2020-09-17,51425.0,EXPLOSIVE MATERIALS
NORTHROP GRUMMAN SYSTEMS CORPORATION,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,2020-09-17,51425.0,EXPLOSIVE MATERIALS
NORTHROP GRUMMAN SYSTEMS CORPORATION,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,2020-09-17,51425.0,EXPLOSIVE MATERIALS
NORTHROP GRUMMAN SYSTEMS CORPORATION,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,2020-09-17,51425.0,EXPLOSIVE MATERIALS
NORTHROP GRUMMAN SYSTEMS CORPORATION,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC,2020-09-17,51425.0,EXPLOSIVE MATERIALS
NORTHROP GRUMMAN SYSTEMS CORPORATION,Steven Nelson,2020-03-12,40000.0,Technical Services
UNIVERSITY OF DAYTON,UNIVERSITY OF TENNESSEE,2020-01-12,4138000.0,Optical diagnostics for material manufacturing process control and investigation of flight/material interactions
UNIVERSITY OF DAYTON,"CARBON CARBON ADVANCED TECHNOLOGIES, INC.",2020-10-27,537364.96,"The U.S. Air Force and other Government agencies are developing hypersonic vehicles for a wide range of critical missions. Durable high temperature material systems are needed which can be utilized as hot structures or as key structures in thermal management approaches which can effectively distribute thermal energy associated with hypersonic flight. Carbon/Carbon (C/C) composites are one material system of interest for use in hot (up to 2800° F (1538° C)) structural, thermal management and aerodynamic applications. C/C laminates and sub-elements are required for the development and/or advancement of NDI techniques; utilization of analytical methods for manufacturing process assessments; use of optical diagnostics for improved material manufacturing process control; and, investigation of aero/material interactions.
 
 
 The objective of this task is to fabricate test panels, specimens, access to manufacturing capabilities for assessment of analytical methods and optical diagnostics for process control, and provide subject matter expertise (SME) throughout this program"
UNIVERSITY OF DAYTON,"CARBON CARBON ADVANCED TECHNOLOGIES, INC.",2020-04-07,499993.45,"OBJECTIVE
 
 The objective of this task is to fabricate test panels, specimens, access to manufacturing capabilities for assessment of analytical methods and optical diagnostics for process control, and provide subject matter expertise (SME) throughout this program
 
 SCOPE OF WORK
 
 The scope of work of this task includes all planning, execution, implementation, and fabrication of C/C composite panels, sub-elements, and NDI calibration specimens. UDRI will provide C-CAT with stitched composite preforms for processing in to C/C composites. C-CAT shall also work with UDRI and UT by providing consultation and if available, access to their manufacturing facility (i.e. autoclaves, furnaces, ect.) to accommodate the analytical methods and optical diagnostics for process control being developed by UDRI and UTRI.
 C-CAT shall also provide SME support to UDRI and UTRI throughout this project to assist in the development, fabrication, testing, and assessment of C/C composites and sub-elements fabricated.  C/C  composites defined in the project shall be of C-CAT standard materials, fabrication, coating and oxidation resistance methods and capable of maintaining mechanical properties after exposure to air at 2800° F (1538° C) for up to 50 hours."
UNIVERSITY OF DAYTON,"FARO TECHNOLOGIES, INC.",2020-02-06,63617.0,"The metrology system is needed to generate 3D CAD models of aerospace structures that will be inspected.  The 3D models will be provided with a file format that is compatible with the NDE inspection software so that the data can be automatically registered on the part.  In addition, the spatial resolution will be high enough to accurately map flaws within the correct region of interest on the part."
"BOEING COMPANY, THE",3M INTERAMERICA INC,2015-01-29,59714.0,"HIGH TEMP AS FABRIC, 8HS, 1500 in support of contract."
"BOEING COMPANY, THE",3M INTERAMERICA INC,2015-01-29,59714.0,In support of the contract.
"BOEING COMPANY, THE","PACKAGING SYSTEMS, INC.",2013-10-17,54037.5,"FABRIC, CERAMIC FIBER
 HIGH TEMP AS FABRIC"
"BOEING COMPANY, THE",3M Company,2013-09-12,49270.55,"FABRIC, CERAMIC FIBER"
RAYTHEON COMPANY,"CUBRC, INC.",2021-09-29,430072.0,"Lightning Arrestors, NRE - Other."
RAYTHEON COMPANY,DZYNE TECHNOLOGIES INCORPORATED,2020-12-23,221126.0,NRE - Other.
RAYTHEON COMPANY,DZYNE TECHNOLOGIES INCORPORATED,2020-12-23,221126.0,NRE - Other.
RAYTHEON COMPANY,"HYSONIC TECHNOLOGIES, LLC",2021-04-19,99400.0,NRE - Other.
RAYTHEON COMPANY,"HYSONIC TECHNOLOGIES, LLC",2021-04-19,99400.0,NRE - Other.
RAYTHEON COMPANY,MATERIALS RESEARCH & DESIGN INC,2022-01-25,37706.0,NRE - Other.
"IERUS TECHNOLOGIES, INC",LOCKHEED MARTIN CORPORATION,2021-06-15,58093.0,"In support of the project on the reference line above, IERUS proposes that Lockheed Martin (LM) perform the following tasks:
 
 1. Perform computational fluid dynamics (CFD) analysis using the GRASP software for one selected trajectory point. Vehicle geometry and flight parameters including assumptions on ablation composition and mass loss rates will be agreed upon by IERUS and LM staff.
 Deliverable: CFD output files and explanatory material containing format specifications.
 2. Perform antenna/electromagnetic (EM) analysis using the ATTEN software for plasma environment generated in item 1). Antenna location and parameters will be agreed upon by IERUS and LM staff.
 Deliverable: EM output files and explanatory material containing format specifications.
 3. Provide subject matter expertise (SME) as necessary for items 1) and 2).
 Deliverable: Contributions to reports and presentations. Participation in teleconferences."
RAYTHEON COMPANY,"OCEANIT LABORATORIES, INC.",2018-11-06,165601.0,Firm Fixed Price
LOCKHEED MARTIN CORPORATION,"AAVID THERMACORE, INC.",2021-09-07,514916.39,SERVICE AAVID THERMACORE
LOCKHEED MARTIN CORPORATION,"PLASMA PROCESSES, LLC",2021-07-20,455802.0,SERVICE PLASMA PROCESSES
LOCKHEED MARTIN CORPORATION,"AAVID THERMACORE, INC.",2020-03-23,450314.0,SERVICE AAVID THERMACORE
LOCKHEED MARTIN CORPORATION,"AAVID THERMACORE, INC.",2021-01-14,450314.0,SERVICE AAVID THERMACORE
LOCKHEED MARTIN CORPORATION,"PLASMA PROCESSES, LLC",2020-10-28,385802.0,SERVICE PLASMA PROCESSES
LOCKHEED MARTIN CORPORATION,"PLASMA PROCESSES, LLC",2020-09-25,385802.0,SERVICE PLASMA PROCESSES
LOCKHEED MARTIN CORPORATION,"PLASMA PROCESSES, LLC",2021-05-05,385802.0,SERVICE PLASMA PROCESSES
LOCKHEED MARTIN CORPORATION,"PLASMA PROCESSES, LLC",2020-04-01,385802.0,SERVICE PLASMA PROCESSES
LOCKHEED MARTIN CORPORATION,"PLASMA PROCESSES, LLC",2020-12-18,385802.0,SERVICE PLASMA PROCESSES
LOCKHEED MARTIN CORPORATION,MATERIALS RESEARCH & DESIGN INC,2020-09-25,374191.0,MR&D MACH RULES SUBCONTRACT
LOCKHEED MARTIN CORPORATION,MATERIALS RESEARCH & DESIGN INC,2020-02-24,374191.0,MR&D MACH RULES SUBCONTRACT
LOCKHEED MARTIN CORPORATION,MATERIALS RESEARCH & DESIGN INC,2021-07-08,374191.0,MR&D MACH RULES SUBCONTRACT
LOCKHEED MARTIN CORPORATION,MATERIALS RESEARCH & DESIGN INC,2021-01-14,374191.0,MR&D MACH RULES SUBCONTRACT
LOCKHEED MARTIN CORPORATION,Advanced Technologies Central LLC,2021-01-14,142206.0,PROVIDE TECHNICAL SUPPORT
LOCKHEED MARTIN CORPORATION,Advanced Technologies Central LLC,2020-05-22,142206.0,PROVIDE TECHNICAL SUPPORT
LOCKHEED MARTIN CORPORATION,Florida A & M University,2020-03-25,135151.84,FLORIDA A&M UNIVERSITY
LOCKHEED MARTIN CORPORATION,"PLASMA PROCESSES, LLC",2021-10-14,49300.0,SERVICE PLASMA PROCESSES
LOCKHEED MARTIN CORPORATION,CASTHEON INC,2021-09-24,35119.0,##C103 1.5 DIA. SAMPLES## ##SUBSCALE C103 FILLED C103 SHELL## ##SUBSCALE HOLLOW THICKENED C103 SHELL## VACUUM STRESS RELIEVE
LOCKHEED MARTIN CORPORATION,"AAVID THERMACORE, INC.",2021-10-04,15210.02,SERVICE AAVID THERMACORE
LOCKHEED MARTIN CORPORATION,Florida A & M University,2021-12-13,-27030.0,FLORIDA A&M UNIVERSITY
LOCKHEED MARTIN CORPORATION,MATERIALS RESEARCH & DESIGN INC,2022-01-12,499995.0,SEE SOW SEE SOW
"BOEING COMPANY, THE",STADCO,2020-11-30,36482.0,Distributive Services
"PLASMA PROCESSES, LLC",ALLIANT TECHSYSTEMS OPERATIONS LLC,2019-07-31,983662.0,Support leading edge component and test specimen design and provide critical rig testing to validate materials in relevant configurations
"BOEING COMPANY, THE","POWDERMET, INC.",2020-07-17,1530000.0,Aerospace Support
"BOEING COMPANY, THE","TRI MODELS, INC.",2019-12-13,60929.9,PURCHASED OUTSIDE PRODUCTION
"BOEING COMPANY, THE","TRI MODELS, INC.",2021-07-27,121441.0,PURCHASED OUTSIDE PRODUCTION
LOCKHEED MARTIN CORPORATION,"MCCLOY ENGINEERING, LLC",2014-07-22,370960.0,COUPON MACHINE AND TESTING
LOCKHEED MARTIN CORPORATION,"MARVIN ENGINEERING CO., INC.",2015-06-16,233345.0,AIRFRAME FOREBODY
LOCKHEED MARTIN CORPORATION,"NATIONAL TECHNICAL SYSTEMS, INC.",2015-07-01,178000.0,NTS THERMAL TESTING
LOCKHEED MARTIN CORPORATION,"PLASMA PROCESSES, LLC",2014-11-13,26691.0,COUPON COATING
GENERAL ATOMICS,"IBS ELECTRONICS, INC",2020-04-24,27720.0,Sensors
GENERAL ATOMICS,"HEILIND MIL-AERO, LLC",2020-03-31,29274.0,Sleeving
GENERAL ATOMICS,"HEILIND MIL-AERO, LLC",2020-04-21,66565.0,Sleeving
GENERAL ATOMICS,ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY,2020-04-09,4454645.0,SC-Engineering Serv
GENERAL ATOMICS,ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY,2020-09-30,1997644.0,SC-Engineering Serv
GENERAL ATOMICS,P & R WATER TAXI LLC,2020-06-15,1995916.55,SC-Engineering Serv
GENERAL ATOMICS,P & R WATER TAXI LLC,2021-08-26,1967595.0,SC-Non Deliverables
GENERAL ATOMICS,P & R WATER TAXI LLC,2021-05-27,1967595.0,SC-Non Deliverables
GENERAL ATOMICS,ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY,2021-02-28,1949561.0,SC-Engineering Serv
GENERAL ATOMICS,P & R WATER TAXI LLC,2020-02-06,1761803.0,SC-Engineering Serv
GENERAL ATOMICS,"SYNECTIC RESEARCH AND ANALYSIS, INC.",2019-11-26,546461.0,SC-Engineering Serv
GENERAL ATOMICS,"SYNECTIC RESEARCH AND ANALYSIS, INC.",2020-02-10,546461.0,SC-Engineering Serv
GENERAL ATOMICS,P & R WATER TAXI LLC,2021-02-11,112923.83,SC-Engineering Serv
GENERAL ATOMICS,"VORTEX ENGINEERING, LLC",2021-11-30,49886.0,Tube
GENERAL ATOMICS,"VORTEX ENGINEERING, LLC",2021-11-24,43450.0,Tube
GENERAL ATOMICS,NATIONAL MICROCHIP,2020-04-15,42136.0,Accelerometers
GENERAL ATOMICS,INTEGRATED MACHINING COMPANY,2020-03-20,37489.2,Other
RAYTHEON COMPANY,"TRI MODELS, INC.",2015-02-05,304682.0,Firm Fixed Price
RAYTHEON COMPANY,ALLIANT TECHSYSTEMS OPERATIONS LLC,2014-10-01,4674992.0,Cost Plus Fixed Fee
RAYTHEON COMPANY,ALLIANT TECHSYSTEMS OPERATIONS LLC,2014-10-01,3999990.0,Cost Plus Fixed Fee
RAYTHEON COMPANY,ALLIANT TECHSYSTEMS OPERATIONS LLC,2014-10-01,1260084.0,Cost Plus Fixed Fee
RAYTHEON COMPANY,ALLIANT TECHSYSTEMS OPERATIONS LLC,2014-10-01,1200000.0,Cost Plus Fixed Fee
RAYTHEON COMPANY,ALLIANT TECHSYSTEMS OPERATIONS LLC,2014-10-01,916064.0,Cost Plus Fixed Fee
RAYTHEON COMPANY,ALLIANT TECHSYSTEMS OPERATIONS LLC,2014-10-01,721913.0,Cost Plus Fixed Fee
RAYTHEON COMPANY,ALLIANT TECHSYSTEMS OPERATIONS LLC,2014-10-01,566003.0,Cost Plus Fixed Fee
RAYTHEON COMPANY,JACOBS TECHNOLOGY INC.,2015-03-02,247340.9,Firm Fixed Price
RAYTHEON COMPANY,ALLIANT TECHSYSTEMS OPERATIONS LLC,2014-10-01,81946.0,Cost Plus Fixed Fee
"TORCH TECHNOLOGIES, INC.","CROSSFLOW TECHNOLOGIES, INC",2020-12-15,352589.25,"The purpose of this effort is to provide Common Truth Service support services for the development, operation, maintenance, and modification of missile phenomenology and environment simulation models within the Systems Simulation Software & Integration (S3I) Directorate. The THAAD Trainer group requires environmental structures to increase efficiency and space at S3I."
"TORCH TECHNOLOGIES, INC.","CROSSFLOW TECHNOLOGIES, INC",2020-12-15,352589.25,"The purpose of this effort is to provide Common Truth Service support services for the development, operation, maintenance, and modification of missile phenomenology and environment simulation models within the Systems Simulation Software & Integration (S3I) Directorate. The THAAD Trainer group requires environmental structures to increase efficiency and space at S3I."
"TORCH TECHNOLOGIES, INC.",OPTICAL SCIENCES CORPORATION,2020-08-31,149988.64,"The purpose of this effort is to provide Common Truth Service support services for the development, operation, maintenance, and modification of missile phenomenology and environment simulation models within the Systems Simulation Software & Integration (S3I) Directorate. The THAAD Trainer group requires environmental structures to increase efficiency and space at S3I."
"TORCH TECHNOLOGIES, INC.",OPTICAL SCIENCES CORPORATION,2020-08-31,149988.64,"Provide engineering analysis to support Hypersonic Defense (HD) studies for missile system simulation development, integration, and analysis. This effort will utilize digital engineering principles to enable streamlined synthesis of candidate specification, requirements, modeling, analysis, Hardware in the Loop (HWIL) and assessment of missile system HD performance. Technical
 effort will be executed at Torch Technologies, Building 2, Floor 4. Equipment will be provided as Government Furnished Equipment as identified in Section 4."
"TORCH TECHNOLOGIES, INC.",OPTICAL SCIENCES CORPORATION,2020-08-31,149988.64,"Provide engineering analysis to support Hypersonic Defense (HD) studies for missile system simulation development, integration, and analysis. This effort will utilize digital engineering principles to enable streamlined synthesis of candidate specification, requirements, modeling, analysis, Hardware in the Loop (HWIL) and assessment of missile system HD performance. Technical
 effort will be executed at Torch Technologies, Building 2, Floor 4. Equipment will be provided as Government Furnished Equipment as identified in Section 4."
"TORCH TECHNOLOGIES, INC.",OPTICAL SCIENCES CORPORATION,2020-08-31,149988.64,"Provide engineering analysis to support Hypersonic Defense (HD) studies for missile system simulation development, integration, and analysis. This effort will utilize digital engineering principles to enable streamlined synthesis of candidate specification, requirements, modeling, analysis, Hardware in the Loop (HWIL) and assessment of missile system HD performance. Technical
 effort will be executed at Torch Technologies, Building 2, Floor 4. Equipment will be provided as Government Furnished Equipment as identified in Section 4."
"TORCH TECHNOLOGIES, INC.",OPTICAL SCIENCES CORPORATION,2020-08-31,149988.64,"Provide engineering analysis to support Hypersonic Defense (HD) studies for missile system simulation development, integration, and analysis. This effort will utilize digital engineering principles to enable streamlined synthesis of candidate specification, requirements, modeling, analysis, Hardware in the Loop (HWIL) and assessment of missile system HD performance. Technical
 effort will be executed at Torch Technologies, Building 2, Floor 4. Equipment will be provided as Government Furnished Equipment as identified in Section 4."
"TORCH TECHNOLOGIES, INC.",MICROTECHNOLOGIES LLC,2021-02-02,143478.27,"Material/ODC to support the requirement specified
 in the TDO entitled, ""FY20 Hypersonic Defense
 Missile System Support,"" dated 22 July 2020 (See
 Attachment 0001)."
"TORCH TECHNOLOGIES, INC.",MICROTECHNOLOGIES LLC,2021-02-02,143478.27,"Material/ODC to support the requirement specified
 in the TDO entitled, ""FY20 Hypersonic Defense
 Missile System Support,"" dated 22 July 2020 (See
 Attachment 0001)."
"TORCH TECHNOLOGIES, INC.",MICROTECHNOLOGIES LLC,2021-02-02,143478.27,"Material/ODC to support the requirement specified
 in the TDO entitled, ""FY20 Hypersonic Defense
 Missile System Support,"" dated 22 July 2020 (See
 Attachment 0001)."
"TORCH TECHNOLOGIES, INC.",MICROTECHNOLOGIES LLC,2021-02-02,143478.27,"Material/ODC to support the requirement specified
 in the TDO entitled, ""FY20 Hypersonic Defense
 Missile System Support,"" dated 22 July 2020 (See
 Attachment 0001)."
"TORCH TECHNOLOGIES, INC.",MICROTECHNOLOGIES LLC,2021-02-02,143478.27,"Material/ODC to support the requirement specified
 in the TDO entitled, ""FY20 Hypersonic Defense
 Missile System Support,"" dated 22 July 2020 (See
 Attachment 0001)."
"TORCH TECHNOLOGIES, INC.",MICROTECHNOLOGIES LLC,2021-02-02,143478.27,"Material/ODC to support the requirement specified
 in the TDO entitled, ""FY20 Hypersonic Defense
 Missile System Support,"" dated 22 July 2020 (See
 Attachment 0001)."
"TORCH TECHNOLOGIES, INC.",MICROTECHNOLOGIES LLC,2021-02-02,143478.27,"Material/ODC to support the requirement specified
 in the TDO entitled, ""FY20 Hypersonic Defense
 Missile System Support,"" dated 22 July 2020 (See
 Attachment 0001)."
"TORCH TECHNOLOGIES, INC.",MICROTECHNOLOGIES LLC,2021-02-02,143478.27,"Material/ODC to support the requirement specified
 in the TDO entitled, ""FY20 Hypersonic Defense
 Missile System Support,"" dated 22 July 2020 (See
 Attachment 0001)."
"TORCH TECHNOLOGIES, INC.",MICROTECHNOLOGIES LLC,2021-02-02,143478.27,"Material/ODC to support the requirement specified
 in the TDO entitled, ""FY20 Hypersonic Defense
 Missile System Support,"" dated 22 July 2020 (See
 Attachment 0001)."
